"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\lazar\Documents\alertup\alertup_backend\src\middlewares\isAdmin.js", "JavaScript", 12, 0, 3, 15
"c:\Users\lazar\Documents\alertup\alertup_backend\src\middlewares\upload.js", "JavaScript", 12, 0, 4, 16
"c:\Users\lazar\Documents\alertup\alertup_backend\src\middlewares\whoami.js", "JavaScript", 33, 0, 8, 41
"c:\Users\lazar\Documents\alertup\alertup_backend\src\models\building.model.js", "JavaScript", 25, 0, 5, 30
"c:\Users\lazar\Documents\alertup\alertup_backend\src\models\contact.model.js", "JavaScript", 17, 0, 2, 19
"c:\Users\lazar\Documents\alertup\alertup_backend\src\models\report.model.js", "JavaScript", 17, 0, 2, 19
"c:\Users\lazar\Documents\alertup\alertup_backend\src\models\user.model.js", "JavaScript", 89, 0, 3, 92
"c:\Users\lazar\Documents\alertup\alertup_backend\src\models\verificatios.model.js", "JavaScript", 18, 0, 2, 20
"c:\Users\lazar\Documents\alertup\alertup_backend\src\routes\admin\admin.js", "JavaScript", 353, 7, 101, 461
"c:\Users\lazar\Documents\alertup\alertup_backend\src\routes\auth\auth.js", "JavaScript", 139, 1, 42, 182
"c:\Users\lazar\Documents\alertup\alertup_backend\src\routes\auth\reset.js", "JavaScript", 101, 2, 33, 136
"c:\Users\lazar\Documents\alertup\alertup_backend\src\routes\buildings\buildings.js", "JavaScript", 270, 1, 69, 340
"c:\Users\lazar\Documents\alertup\alertup_backend\src\routes\contact\contact.js", "JavaScript", 20, 0, 6, 26
"c:\Users\lazar\Documents\alertup\alertup_backend\src\routes\contact\report.js", "JavaScript", 20, 0, 6, 26
"c:\Users\lazar\Documents\alertup\alertup_backend\src\routes\dashboard\dashboard.js", "JavaScript", 20, 0, 8, 28
"c:\Users\lazar\Documents\alertup\alertup_backend\src\routes\premium\premium.js", "JavaScript", 153, 12, 29, 194
"c:\Users\lazar\Documents\alertup\alertup_backend\src\routes\settings\settings.js", "JavaScript", 230, 1, 84, 315
"c:\Users\lazar\Documents\alertup\alertup_backend\src\routes\user\user.js", "JavaScript", 11, 0, 5, 16
"c:\Users\lazar\Documents\alertup\alertup_backend\src\services\cloudinary.js", "JavaScript", 7, 0, 3, 10
"c:\Users\lazar\Documents\alertup\alertup_backend\src\services\sendEmail.js", "JavaScript", 21, 0, 4, 25
"Total", "-", 1568, 24, 419, 2011
